라자, 59, 193
아파, 86, 184
차사, 85, 144
아라, 41, 147
타사, 72, 143
타마, 82, 193
사마, 75, 171
라라, 73, 175
아다, 84, 184
자사, 64, 165
사나, 43, 168
하사, 79, 181
마카, 60, 148
라하, 73, 185
하바, 42, 197
나카, 92, 181
하라, 54, 166
카하, 96, 143
바파, 92, 148
자가, 49, 185
바파, 41, 174
파차, 77, 166
아하, 91, 164
사타, 64, 141
라가, 81, 195
나마, 57, 148
나하, 86, 153
가마, 84, 196
파타, 67, 157
아나, 85, 169
라하, 69, 195
라자, 69, 143
라아, 78, 145
바나, 83, 150
가아, 61, 179
나차, 48, 190
다다, 78, 155
바하, 44, 192
가파, 91, 179
마다, 82, 193
카라, 88, 172
차자, 62, 186
라사, 88, 166
마가, 46, 141
바나, 89, 171
나타, 75, 188
카파, 41, 195
사아, 52, 184
파가, 75, 154
타사, 59, 178
나파, 65, 167
타마, 54, 155
가카, 77, 145
카마, 90, 188
파파, 96, 174
카차, 42, 196
나차, 47, 167
다바, 75, 161
나라, 78, 173
마가, 65, 181
다가, 96, 150
타카, 89, 191
나라, 82, 194
라아, 43, 165
나바, 99, 169
사사, 90, 168
카자, 42, 162
마나, 98, 172
가파, 94, 162
자아, 77, 181
가타, 50, 172
자차, 65, 174
나타, 79, 167
마하, 81, 189
다나, 45, 183
카자, 52, 145
바사, 80, 149
하타, 70, 141
카카, 60, 140
타마, 74, 165
라가, 85, 156
차차, 76, 159
사가, 72, 194
아차, 67, 196
나가, 43, 147
자파, 79, 180
자카, 53, 144
마파, 78, 193
가사, 75, 187
사파, 74, 181
바파, 61, 156
다마, 50, 152
하자, 46, 160
사자, 65, 147
마아, 65, 155
나타, 44, 164
사파, 74, 179
타마, 87, 193
자파, 93, 167
아가, 72, 140
하파, 96, 156
가사, 81, 145
자라, 62, 170
자자, 74, 198
라아, 59, 178
아자, 85, 173
다가, 53, 153
바하, 59, 173
사마, 67, 195
자나, 84, 142
사하, 94, 144
사아, 85, 173
라다, 94, 166
다아, 69, 199
라나, 96, 185
사나, 83, 155
차아, 52, 149
라바, 72, 146
다아, 62, 179
차파, 68, 151
바마, 46, 143
하가, 45, 162
마자, 42, 186
나아, 75, 165
차차, 80, 167
라타, 62, 166
아라, 42, 167
카나, 81, 144
자사, 47, 191
아바, 82, 186
자다, 75, 144
타타, 70, 178
바카, 88, 146
라사, 96, 170
타하, 97, 154
카자, 87, 195
카차, 64, 180
라차, 96, 176
마아, 61, 148
자가, 92, 192
마사, 97, 182
카나, 88, 171
파가, 99, 157
사다, 60, 194
하파, 43, 163
카하, 63, 153
마하, 87, 181
다타, 67, 165
사파, 88, 174
하마, 59, 152
나나, 68, 192
카하, 90, 172
카아, 74, 188
차파, 80, 158
나사, 72, 167
아카, 65, 172
라하, 53, 165
파마, 70, 163
가라, 69, 176
아마, 82, 185
자사, 57, 181
자파, 50, 187
마가, 97, 165
다카, 85, 184
나가, 70, 159
라가, 53, 199
라하, 64, 182
타아, 90, 185
가하, 47, 166
바바, 85, 195
다나, 90, 144
라차, 58, 195
타아, 76, 160
자나, 63, 162
하하, 98, 166
라나, 75, 198
하파, 73, 146
가타, 81, 160
마하, 75, 148
마아, 90, 153
차사, 95, 194
파가, 73, 169
파마, 71, 168
파하, 90, 177
카파, 90, 157
차마, 73, 150
나파, 90, 159
나가, 63, 179
하나, 57, 148
사사, 44, 191
카카, 41, 187
파나, 67, 158
바파, 58, 162
사사, 44, 157
차사, 40, 188
다라, 52, 172
가바, 99, 154
파다, 72, 150
사사, 72, 164
아하, 63, 191
아아, 67, 179
차나, 42, 171
라가, 56, 168
카파, 46, 154
파아, 77, 148
하카, 60, 182
타라, 85, 173
사사, 62, 179
차차, 84, 146
자다, 81, 191
차타, 90, 171
아파, 76, 173
나사, 68, 153
타타, 43, 153
차카, 97, 177
라가, 98, 148
바차, 59, 188
다다, 78, 165
사가, 65, 141
나하, 78, 144
나가, 95, 142
사다, 45, 179
마타, 60, 198
타마, 82, 179
자나, 76, 198
파다, 77, 192
마다, 89, 160
가하, 53, 146
카나, 88, 147
가가, 56, 191
가카, 54, 178
라카, 54, 162
가가, 55, 155
나하, 87, 165
카마, 85, 181
다타, 43, 142
다가, 56, 144
사마, 76, 187
파타, 42, 169
라다, 59, 153
나차, 92, 159
나가, 58, 167
다아, 98, 159
다자, 75, 173
파타, 70, 183
바사, 60, 185
마타, 56, 179
카아, 48, 140
라파, 99, 159
파다, 56, 147
다나, 87, 178
나나, 84, 153
가가, 43, 186
타아, 89, 147
다하, 84, 161
타파, 64, 150
다카, 59, 195
차차, 88, 170
마아, 94, 185
아카, 96, 187
파마, 65, 146
다마, 42, 178
마타, 66, 194
다하, 61, 173
라카, 74, 190
사타, 61, 149
나차, 60, 143
라다, 96, 184
하가, 97, 170
나바, 73, 146
타타, 62, 168
바사, 56, 193
파다, 89, 184
마차, 44, 146
자아, 93, 147
하사, 76, 148
하마, 75, 141
가라, 57, 197
다사, 65, 142
차다, 58, 178
바파, 92, 193
아라, 88, 164
차가, 96, 175
사파, 81, 165
아카, 98, 163
하나, 80, 172
타타, 86, 148
파하, 82, 180
라차, 86, 182
사사, 76, 155
나사, 71, 148
카차, 98, 161
아사, 58, 158
자하, 69, 147
마자, 47, 185
라아, 44, 159
나하, 70, 140
마카, 54, 148
사타, 71, 197
마자, 85, 160
차차, 93, 193
아라, 53, 183
타마, 63, 199
가다, 86, 166
나차, 81, 144
가라, 92, 168
가하, 63, 164
다자, 46, 172
다파, 59, 149
하나, 92, 148
바마, 58, 179
마나, 91, 172
마아, 43, 186
바가, 61, 155
카자, 56, 144
카차, 41, 169
타타, 45, 167
아바, 92, 148
타카, 41, 149
바파, 82, 140
카자, 78, 156
파사, 77, 186
카파, 86, 163
자하, 58, 190
나하, 67, 187
사사, 95, 149
차사, 78, 167
사사, 55, 199
나파, 73, 175
차하, 54, 165
바바, 74, 189
바아, 48, 177
하아, 57, 168
사마, 40, 196
사나, 40, 157
라타, 77, 153
바카, 77, 188
파나, 89, 191
파다, 57, 150
바자, 46, 174
파자, 41, 180
라차, 91, 189
파파, 43, 188
하마, 89, 177
파타, 99, 184
타아, 88, 151
나차, 55, 162
바파, 40, 143
하파, 83, 142
다라, 86, 149
카차, 85, 140
카나, 54, 165
마하, 70, 193
카하, 64, 157
차타, 48, 191
라자, 85, 160
사자, 67, 160
아자, 43, 178
가카, 73, 143
다가, 72, 161
아바, 97, 195
다하, 50, 196
카차, 94, 154
바카, 91, 197
아카, 62, 167
라하, 74, 170
카아, 78, 176
차카, 81, 175
바가, 59, 185
파자, 44, 195
하나, 73, 169
타타, 68, 158
가다, 40, 161
자자, 91, 189
파바, 69, 187
차차, 50, 151
자바, 60, 167
타나, 57, 181
차나, 61, 171
하차, 99, 140
라바, 43, 152
카다, 61, 191
사타, 95, 181
가타, 88, 191
바라, 93, 146
파타, 48, 155
파마, 91, 179
가가, 62, 177
타사, 87, 144
카나, 75, 193
바나, 48, 148
다카, 91, 198
카하, 50, 168
파타, 96, 176
자타, 64, 181
사카, 75, 152
타가, 80, 157
아타, 95, 164
타타, 48, 149
다아, 98, 154
차파, 96, 143
자마, 94, 165
하타, 66, 186
파파, 89, 154
마차, 48, 172
아카, 89, 182
라차, 62, 194
마나, 91, 169
라사, 74, 191
차나, 82, 175
파다, 71, 141
파파, 48, 171
카자, 54, 153
사가, 77, 194
카카, 61, 173
사바, 82, 187
나타, 86, 156
사마, 49, 189
나다, 77, 146
카라, 41, 173
차자, 87, 148
카나, 68, 150
아라, 61, 188
바나, 60, 195
마파, 67, 151
자다, 86, 146
자아, 92, 197
자아, 53, 155
파차, 90, 167
차라, 52, 192
자가, 52, 161
카가, 70, 190
파라, 68, 199
가바, 50, 188
나가, 42, 191
바아, 84, 165
파나, 71, 141
아타, 83, 188
타자, 63, 183
다나, 85, 160
사라, 51, 185
가하, 60, 155
바자, 43, 142
하하, 45, 170
파아, 47, 168
가다, 58, 155
아사, 73, 185
바사, 63, 142
아카, 47, 176
나아, 64, 192
라차, 92, 148
파마, 57, 168
라아, 59, 177
사사, 59, 158
바다, 45, 196
카마, 43, 184
차사, 81, 161
차나, 69, 171
라바, 72, 148
바자, 76, 151
하나, 60, 165
다자, 70, 190
하마, 73, 195
다사, 41, 194
마카, 90, 140
카타, 59, 153
마다, 94, 145
파라, 51, 166
라마, 65, 153
다자, 46, 190
자라, 93, 174
마차, 58, 143
마사, 68, 151
가아, 68, 178
차사, 96, 143
사하, 73, 187
마아, 98, 179
차타, 85, 172
아사, 96, 191
카카, 57, 146
사라, 54, 152
자아, 41, 173
파아, 62, 175
바바, 99, 177
다가, 91, 154
라가, 57, 179
하다, 91, 151
타자, 99, 184
하타, 44, 192
나라, 84, 170
가하, 63, 171
바사, 45, 186
라파, 94, 162
바아, 52, 181
다나, 59, 185
나하, 67, 171
파카, 53, 189
바카, 43, 172
마나, 63, 194
바파, 78, 185
자아, 98, 156
라파, 51, 174
카카, 95, 198
자나, 49, 190
다자, 42, 187
자가, 43, 179
파바, 77, 161
가다, 88, 193
파차, 99, 170
타자, 98, 165
다사, 94, 183
라파, 88, 185
나바, 78, 160
사마, 80, 148
바나, 64, 170
파아, 43, 168
카다, 47, 193
자타, 84, 140
카라, 68, 169
타자, 87, 169
다자, 71, 149
바마, 47, 150
사마, 51, 183
타나, 56, 173
아타, 97, 183
타카, 43, 189
나파, 41, 177
하바, 61, 170
라하, 59, 193
파나, 46, 163
카사, 72, 155
타라, 56, 179
라다, 41, 160
가타, 76, 195
라차, 76, 186
사파, 81, 161
아가, 99, 155
마카, 75, 165
자카, 55, 180
차차, 85, 166
아다, 78, 195
마차, 95, 189
카타, 50, 140
하나, 69, 159
카다, 95, 151
아하, 63, 156
가나, 81, 148
카사, 91, 189
아자, 96, 166
차아, 89, 152
카타, 41, 156
타가, 82, 189
차바, 61, 161
자바, 48, 172
라라, 84, 179
자바, 83, 178
하파, 79, 195
마나, 42, 173
하마, 86, 166
아자, 81, 171
차사, 60, 146
파파, 54, 177
라카, 40, 169
타카, 76, 172
바라, 53, 194
차나, 82, 177
마가, 43, 175
다바, 99, 181
하라, 46, 192
가나, 87, 181
차파, 75, 185
바차, 96, 189
파다, 89, 146
파파, 87, 197
아다, 86, 163
사아, 43, 154
라차, 77, 152
마하, 77, 192
라차, 87, 144
자차, 87, 193
카차, 81, 160
나바, 87, 154
마파, 77, 155
가나, 69, 152
나파, 87, 180
가사, 80, 193
자가, 43, 196
하마, 66, 171
자타, 80, 189
마타, 53, 190
나가, 98, 154
자차, 80, 169
파다, 65, 170
아가, 97, 170
나라, 59, 144
하다, 93, 184
나사, 75, 195
아하, 53, 150
차가, 72, 149
하차, 87, 191
가사, 55, 145
타파, 91, 175
사나, 83, 173
차마, 67, 164
파자, 71, 151
바가, 45, 192
가자, 52, 179
라마, 43, 199
라하, 40, 183
아다, 47, 193
가카, 96, 163
타나, 61, 180
나타, 63, 169
하바, 90, 162
마하, 54, 145
타다, 56, 171
다자, 67, 179
마자, 61, 190
자타, 95, 173
라가, 67, 143
자자, 58, 176
다카, 91, 186
타카, 69, 169
아차, 40, 175
나차, 60, 173
하라, 98, 187
파사, 48, 167
차자, 45, 155
바자, 44, 196
타다, 56, 186
아파, 67, 180
차차, 87, 175
하다, 54, 170
바차, 88, 166
바바, 70, 161
타하, 48, 156
가카, 56, 170
아가, 71, 174
다차, 75, 145
다마, 59, 149
아카, 70, 165
타다, 73, 151
하사, 75, 151
차가, 95, 145
하사, 91, 170
자라, 98, 168
라파, 90, 150
파하, 84, 198
아다, 81, 174
나하, 69, 163
나파, 58, 163
하타, 76, 150
다나, 97, 154
아하, 59, 186
바파, 94, 151
차차, 76, 165
자타, 55, 182
아파, 87, 152
하마, 87, 178
카하, 55, 185
하카, 68, 161
가자, 65, 154
자사, 56, 153
라마, 61, 148
카바, 68, 161
나자, 51, 154
다다, 70, 141
가마, 76, 170
아파, 52, 159
자마, 62, 154
나나, 96, 184
나아, 61, 170
나가, 44, 148
마하, 57, 149
자파, 63, 156
나타, 56, 158
다자, 88, 184
마사, 80, 163
마다, 79, 160
하아, 51, 179
자다, 66, 178
차자, 99, 166
하하, 85, 164
차파, 80, 140
아하, 97, 140
하파, 67, 142
다차, 82, 183
타라, 55, 180
자나, 55, 177
다차, 97, 152
차라, 70, 158
다아, 83, 143
자파, 84, 199
카가, 73, 146
자아, 91, 145
다자, 98, 179
아파, 64, 169
나라, 81, 149
하하, 44, 140
가차, 69, 150
나카, 52, 193
라아, 86, 149
카카, 99, 148
타가, 44, 166
가사, 71, 154
사자, 41, 146
라아, 82, 179
차카, 51, 178
타하, 92, 174
파차, 83, 168
타아, 52, 191
아다, 52, 166
마마, 78, 154
자타, 56, 181
마카, 72, 160
파파, 40, 174
타아, 65, 193
나가, 75, 169
하카, 80, 197
라다, 62, 182
아나, 56, 146
나사, 51, 198
바나, 75, 144
사아, 82, 176
타카, 44, 142
아다, 63, 192
파아, 91, 186
사파, 87, 171
사가, 73, 185
사마, 74, 174
사라, 91, 168
마차, 76, 175
카아, 60, 199
마아, 90, 166
바자, 97, 187
파나, 42, 151
바바, 68, 166
카자, 91, 148
아라, 80, 151
파다, 50, 177
나파, 96, 197
하바, 83, 172
라나, 75, 196
파카, 73, 171
사자, 94, 148
카자, 69, 180
파가, 71, 181
아사, 52, 152
사마, 58, 169
나카, 98, 194
라카, 98, 147
차라, 80, 153
바카, 83, 197
바하, 48, 174
자다, 53, 157
카자, 74, 167
차차, 65, 172
카자, 48, 183
나아, 41, 182
라바, 74, 150
아마, 80, 157
마차, 84, 150
나다, 66, 172
파가, 57, 143
사바, 51, 180
자차, 79, 197
라사, 58, 142
마마, 74, 181
나타, 88, 147
다마, 70, 148
나카, 41, 180
차차, 76, 193
아라, 97, 164
자하, 50, 156
나차, 55, 160
타자, 87, 172
다마, 86, 163
라가, 89, 146
자바, 60, 146
하나, 72, 176
다타, 88, 161
바아, 84, 156
라카, 71, 177
카사, 66, 140
아파, 61, 194
차사, 68, 184
